Bill Number,Bill Name,Summary,Status,Caucus,Committee
S. 1278,"A bill to designate the Federal building located at 985 Michigan Avenue in Detroit, Michigan, as the \u201cRosa Parks Federal Building\u201d, and for other purposes.","This bill designates the federal building located at 985 Michigan Avenue in Detroit, Michigan, as the Rosa Parks Federal Building.",Enacted,Congressional Black Caucus,Financial Services and General Government
H.R. 7684,Udall Foundation Reauthorization Act of 2024,"This bill reauthorizes through FY2029 the Morris K. Udall and Stewart L. Udall Foundation's trust fund, its Environmental Dispute Resolution Fund, and the foundation's support for training of health care and public policy professionals through the Native Nations Institute. The mission of the foundation, an independent executive branch agency, is to provide programs to promote leadership, education, collaboration, and conflict resolution in the areas of environment, public lands, and natural resources in order to strengthen Native nations, assist federal agencies and others to resolve environmental conflicts, and to encourage the continued use and appreciation of our nation's rich resources.For appropriations to the trust fund occurring October 1, 2023, or after, the bill makes interest earned from investments made with those appropriations only available subject to appropriations.The bill also directs the Office of Inspector General of the Department of the Interior to complete an audit of the foundation within four years.",Enacted,Congressional Native American Caucus,"Interior, Environment and Related Agencies"
S. 1858,A bill to amend the Robert T. Stafford Disaster Relief and Emergency Assistance Act to establish a deadline for applying for disaster unemployment assistance.,"This bill modifies the deadline for applying for disaster unemployment assistance.Specifically, the bill matches the deadline for an individual seeking unemployment assistance for a major disaster under the Robert T. Stafford Disaster Relief and Emergency Assistance Act to the application deadline for individuals and households seeking other assistance under that act.The bill authorizes an extension of that deadline if the individual (1) has good cause for the late submission, and (2) submits the application during the period when disaster assistance is being provided.",Enacted,Congressional Bipartisan Disaster Preparedness & Recovery Caucus,"Labor, Health and Human Services, Education and Related Agencies"
S. 206,A bill to require the Commissioner of U.S. Customs and Border Protection to regularly review and update policies and manuals related to inspections at ports of entry.,"This bill requires U.S. Customs and Border Protection to review and update, as necessary, manuals and policies related to inspections at ports of entry to ensure the uniformity of inspection practices to effectively detect illegal activity along the border, such as the smuggling of drugs and humans.",Enacted,Border Security Caucus,Homeland Security
S. 992,"A bill to amend the Intermodal Surface Transportation Efficiency Act of 1991 to designate the Texas and New Mexico portions of the future Interstate-designated segments of the Port-to-Plains Corridor as Interstate Route 27, and for other purposes","This bill designates the future interstate highway system portions of the Ports-to-Plains Corridor within the states of Texas and New Mexico as Interstate Route I–27. In Texas, from Sterling City to Lamesa, U.S. Route 87 is designated as Interstate Route I–27E and Texas Routes 158 and 349 via I–20 are designated as Interstate Route I–27W. U.S. Route 287 from Dumas, Texas to the border between Texas and Oklahoma is designated as Interstate Route I–27N.",Enacted,Congressional Infrastructure Caucus,"Transportation, Housing and Urban Development and Related Agencies"
H.R. 7568,Disaster Assistance Deadlines Alignment Act,,Enacted,Congressional Bipartisan Disaster Preparedness & Recovery Caucus,Disaster Assistance Deadlines Alignment Act
H.R. 2882,"Further Consolidated Appropriations Act, 2024","This bill provides FY2024 appropriations for several federal departments and agencies. It also extends various expiring programs and authorities. Specifically, the bill includes 6 of the 12 regular FY2024 appropriations bills: the Department of Defense Appropriations Act, 2024; the Financial Services and General Government Appropriations Act, 2024; the Department of Homeland Security Appropriations Act, 2024; the Departments of Labor, Health and Human Services, and Education, and Related Agencies Appropriations Act, 2024; the Legislative Branch Appropriations Act, 2024; and the Department of State, Foreign Operations, and Related Programs Appropriations Act, 2024. The departments, agencies, and activities funded in the bill include the military activities of the Department of Defense, the Department of the Treasury, the Executive Office of the President, the judiciary, federal payments to the District of Columbia, the Department of Homeland Security, the Department of Labor, the Department of Health and Human Services, the Department of Education, Congress and the agencies that serve Congress, the Department of State, and several related and independent agencies. In addition, the bill extends various programs and authorities, including the National Flood Insurance Program, the Morris K. Udall and Stewart L. Udall Foundation Trust Fund, and several authorities and programs related to immigration.The bill also prohibits State Department funds from being used to make payments to the U.N. Relief and Works Agency until March 25, 2025.",Enacted,Congressional Appropriations Committee,Financial Services and General Government
H.R. 7454,Airport and Airway Extension Act of 2024,"This bill temporarily extends specific Federal Aviation and Administration (FAA) programs and activities through May 10, 2024.For example, the bill extends the FAA Unmanned Aircraft Systems (UAS) pilot programs (e.g., the UAS Test Site Program and the UAS remote detection and identification pilot program), weather reporting programs, Remote Tower Pilot Program, and Essential Air Service Program. The bill also extends the authorization for the Airport Improvement Program (AIP). (This program provides grants for planning, development, and noise compatibility projects at or associated with certain public-use airports.)Further, the bill extends through May 10, 2024, the FAA's authority for expenditures from the Airport and Airway Trust Fund (AATF) and to collect various taxes and fees to fund the AATF, including taxes on aviation fuel and airline tickets. (The AATF is the primary funding source for all major FAA accounts that fund federal aviation programs, with the remainder coming from general fund appropriations.)The bill also extends through May 10, 2024, the authority of the Department of Homeland Security and the Department of Justice to take certain actions to mitigate a credible threat to certain facilities or assets from a UAS. These include certain facilities that are located in the United States and identified as high-risk and a potential target for unlawful UAS activity.",Enacted,Congressional Airport Caucus,"Transportation, Housing and Urban Development and Related Agencies"
H.R. 7545,"To amend title XIX of the Social Security Act to include certified community behavioral health clinic services as a State plan option under the Medicaid program, and for other purposes.",,Enacted,Bipartisan Mental Health & Substance Use Disorder Task Force,"Labor, Health and Human Services, Education and Related Agencies"
H.R. 4366,"Consolidated Appropriations Act, 2024","This bill provides FY2024 appropriations for several federal departments and agencies. It also extends various expiring programs and authorities, including several public health programs.Specifically, the bill includes 6 of the 12 regular FY2024 appropriations bills: the Military Construction, Veterans Affairs, and Related Agencies Appropriations Act, 2024; the Agriculture, Rural Development, Food and Drug Administration, and Related Agencies Appropriations Act, 2024; the Commerce, Justice, Science, and Related Agencies Appropriations Act, 2024; the Energy and Water Development and Related Agencies Appropriations Act, 2024; the Department of the Interior, Environment, and Related Agencies Appropriations Act, 2024; and the Transportation, Housing and Urban Development, and Related Agencies Appropriations Act, 2024. The departments, agencies, and activities funded in the bill include Department of Defense military construction and family housing activities, the Department of Veterans Affairs, the Department of Agriculture, the Food and Drug Administration, the Department of Commerce, the Department of Justice, the science agencies, the Department of Energy, the U.S. Army Corps of Engineers, the Department of the Interior, the Environmental Protection Agency, the Department of Transportation, the Department of Housing and Urban Development, and several related and independent agencies. In addition, the bill includes several provisions that extend or otherwise modify various programs and authorities, including several public health programs.The bill also modifies the Compacts of Free Association that govern the relationship between the United States and the Republic of the Marshall Islands, the Federated States of Micronesia, and the Republic of Palau.",Enacted,Congressional Appropriations Committee,"Agriculture, Rural Development, Food and Drug Administration and Related Agencies"
S. 3222,"A bill to ensure the security of office space rented by Senators, and for other purposes.",,Enacted,Congressional Building Trades Caucus,Financial Services and General Government
H.R. 1568,Moving Americans Privacy Protection Act,"This bill revises requirements regarding the public disclosure of personally identifiable information contained in the manifest of vessels or aircraft entering a U.S. port or place. Specifically, the bill directs U.S. Customs and Border Protection (CBP) to remove such information, including Social Security numbers and passport numbers, from a manifest signed and transmitted to CBP before it is accessible by the public.",Enacted,Cybersecurity Caucus,Homeland Security
H.R. 7463,"Extension of Continuing Appropriations and Other Matters Act, 2024",,Enacted,Congressional Appropriations Committee,"Appropriations, Agriculture, Rural Development, Food and Drug Administration and Related Agencies"
S. 3427,"A bill to extend the authority to provide employees of the United States Secret Service with overtime pay beyond other statutory limitations, and for other purposes.","This bill extends through 2028 and modifies the authority to provide premium pay for protective services employees of the U.S. Secret Service that exceeds certain statutory limits on premium pay. The bill also requires the Secret Service to provide related information to Congress.The bill provides that, if the bill is enacted after December 31, 2023, the extension applies as if it were enacted on December 31, 2023. The bill also specifies that employees who perform routine administrative or technical work are not eligible for this premium pay.Next, within 180 days of the bill's enactment, the Secret Service must report to Congress on how it is addressing the demand for Secret Service protection personnel and recommend strategies for reducing the use of overtime.The bill also requires the Secret Service to report to Congress: (1) the number of employees receiving premium pay above the statutory cap; (2) the number of employees who were not fully compensated due to the statutory cap and the total amount that employees would have been paid without the cap; (3) the total, median, mean, and greatest amounts of premium pay above the cap; and (4) a list of personnel who received premium pay above the cap and separated from the agency. This information must be provided for each calendar year and updated quarterly. Further, the Secret Service must report to Congress on the effect that the bill has had on this data.",Enacted,Law Enforcement Caucus,Homeland Security
S. 3250,"A bill to provide remote access to court proceedings for victims of the 1988 Bombing of Pan Am Flight 103 over Lockerbie, Scotland.","This bill requires federal courts to make remote access to certain criminal court proceedings available for victims of the bombing of Pan American Flight 103 over Lockerbie, Scotland, on December 21, 1988.Specifically, federal courts must make remote access available to the proceedings in the criminal case against Abu Agila Mohammed Mas'ud Kheir Al-Marimi and against any co-conspirator subsequently charged and prosecuted in federal court for crimes related to the bombing of Pan American Flight 103.",Enacted,Congressional Terrorism Caucus,"Commerce, Justice, Science and Related Agencies"
H.R. 1722,Grand Ronde Reservation Act Amendment of 2023,"This bill revises the land claims of the Confederated Tribes of the Grand Ronde Community of Oregon. In particular, the bill specifies that only the tribe's claims to the 84 acres of land known as the Thompson Strip, rather than the tribe's claims to any lands within Oregon, are extinguished.Additionally, the bill prohibits gaming on any real property obtained by the tribe as part of a land claim settlement approved by the United States, including any real property purchased with funds granted as part of any land claim settlement.",Enacted,Native American Caucus,"Interior, Environment and Related Agencies"
H.R. 2839,"To amend the Siletz Reservation Act to address the hunting, fishing, trapping, and animal gathering rights of the Confederated Tribes of Siletz Indians, and for other purposes.","This bill provides a process by which the Confederated Tribes of Siletz Indians and Oregon may negotiate to amend or replace the existing agreement defining the tribe's hunting, fishing, trapping, and animal gathering rights.The current agreement, which was made effective by a May 2, 1980, consent decree by the U.S. District Court for the District of Oregon, serves as the exclusive and final determination of the tribe's hunting, fishing, trapping, and gathering rights. This bill instead allows an April 22, 1980, agreement between the United States, Oregon, and the tribe (known as the Siletz Agreement) to define the tribe's rights until and unless it is amended or replaced upon mutual agreement of the tribe and Oregon (with specified limitations regarding a new agreement).The bill allows the tribe and Oregon to return to the U.S. District Court for the District of Oregon to request the modification or termination of the May 2, 1980, consent decree.",Enacted,Native American Caucus,Indian and Insular Affairs
