Senate Vote #277 2022-08-02T16:57:00 - S. 3373: Sergeant First Class Heath Robinson Honoring our Promise to Address Comprehensive Toxics Act of 2022
person,state,district,vote,name,party
300018,WA,,Nay,Sen. Maria Cantwell [D],Democrat
300019,DE,,Nay,Sen. Thomas Carper [D],Democrat
300025,ME,,Nay,Sen. Susan Collins [R],Republican
300027,TX,,Not Voting,Sen. John Cornyn [R],Republican
300030,ID,,Nay,"Sen. Michael “Mike” Crapo [R, 1999-2028]",Republican
300038,IL,,Nay,Sen. Richard Durbin [D],Democrat
300043,CA,,Nay,"Sen. Dianne Feinstein [D, 1992-2023]",Democrat
300047,SC,,Nay,Sen. Lindsey Graham [R],Republican
300048,IA,,Nay,"Sen. Charles “Chuck” Grassley [R, 1981-2028]",Republican
300055,OK,,Nay,"Sen. James “Jim” Inhofe [R, 1994-2022]",Republican
300065,VT,,Not Voting,"Sen. Patrick Leahy [D, 1975-2022]",Democrat
300072,KY,,Nay,Sen. Mitch McConnell [R],Republican
300075,AK,,Nay,"Sen. Lisa Murkowski [R, 2003-2028]",Republican
300076,WA,,Nay,"Sen. Patty Murray [D, 1993-2028]",Democrat
300081,RI,,Nay,Sen. John F. “Jack” Reed [D],Democrat
300087,NY,,Nay,"Sen. Charles “Chuck” Schumer [D, 1999-2028]",Democrat
300089,AL,,Nay,"Sen. Richard Shelby [R, 1987-2022]",Republican
300093,MI,,Nay,Sen. Debbie Stabenow [D],Democrat
300100,OR,,Nay,"Sen. Ron Wyden [D, 1996-2028]",Democrat
400013,WI,,Nay,Sen. Tammy Baldwin [D],Democrat
400032,TN,,Yea,Sen. Marsha Blackburn [R],Republican
400034,MO,,Nay,"Sen. Roy Blunt [R, 2011-2022]",Republican
400040,AR,,Nay,"Sen. John Boozman [R, 2011-2028]",Republican
400050,OH,,Nay,Sen. Sherrod Brown [D],Democrat
400054,NC,,Not Voting,"Sen. Richard Burr [R, 2005-2022]",Republican
400061,WV,,Nay,Sen. Shelley Moore Capito [R],Republican
400064,MD,,Nay,Sen. Benjamin Cardin [D],Democrat
400253,MA,,Nay,Sen. Edward “Ed” Markey [D],Democrat
400272,NJ,,Nay,Sen. Robert “Bob” Menendez [D],Democrat
400284,KS,,Nay,"Sen. Jerry Moran [R, 2011-2028]",Republican
400325,OH,,Nay,"Sen. Robert “Rob” Portman [R, 2011-2022]",Republican
400357,VT,,Nay,Sen. Bernard “Bernie” Sanders [I],Independent
400408,PA,,Nay,"Sen. Patrick “Pat” Toomey [R, 2011-2022]",Republican
400415,MD,,Nay,"Sen. Chris Van Hollen [D, 2017-2028]",Democrat
400432,MS,,Nay,Sen. Roger Wicker [R],Republican
400546,SD,,Nay,"Sen. John Thune [R, 2005-2028]",Republican
412194,CT,,Nay,Sen. Christopher Murphy [D],Democrat
412200,HI,,Nay,Sen. Mazie Hirono [D],Democrat
412223,NY,,Nay,Sen. Kirsten Gillibrand [D],Democrat
412242,MN,,Nay,Sen. Amy Klobuchar [D],Democrat
412244,MT,,Nay,Sen. Jon Tester [D],Democrat
412246,PA,,Nay,Sen. Robert “Bob” Casey [D],Democrat
412247,RI,,Nay,Sen. Sheldon Whitehouse [D],Democrat
412251,WY,,Nay,Sen. John Barrasso [R],Republican
412269,LA,,Nay,Sen. Bill Cassidy [R],Republican
412281,NM,,Nay,Sen. Martin Heinrich [D],Democrat
412293,NM,,Nay,Sen. Ben Ray Luján [D],Democrat
412294,WY,,Nay,Sen. Cynthia Lummis [R],Republican
412305,MI,,Nay,Sen. Gary Peters [D],Democrat
412321,VA,,Nay,Sen. Mark Warner [D],Democrat
412322,ID,,Nay,Sen. James Risch [R],Republican
412323,NH,,Nay,Sen. Jeanne Shaheen [D],Democrat
412325,OR,,Nay,Sen. Jeff Merkley [D],Democrat
412330,CO,,Nay,"Sen. Michael Bennet [D, 2009-2028]",Democrat
412390,DE,,Nay,Sen. Christopher Coons [D],Democrat
412391,WV,,Nay,Sen. Joe Manchin [D],Democrat
412428,IN,,Nay,"Sen. Todd Young [R, 2017-2028]",Republican
412464,OK,,Nay,"Sen. James Lankford [R, 2015-2028]",Republican
