Senate Vote #59 2021-02-13T15:39:00 - Guilty or Not Guilty H.Res. 24
person,state,district,vote,name,party
300018,WA,,Guilty,Sen. Maria Cantwell [D],Democrat
300019,DE,,Guilty,Sen. Thomas Carper [D],Democrat
300025,ME,,Guilty,Sen. Susan Collins [R],Republican
300027,TX,,Not Guilty,Sen. John Cornyn [R],Republican
300030,ID,,Not Guilty,"Sen. Michael “Mike” Crapo [R, 1999-2028]",Republican
300038,IL,,Guilty,Sen. Richard Durbin [D],Democrat
300043,CA,,Guilty,"Sen. Dianne Feinstein [D, 1992-2023]",Democrat
300047,SC,,Not Guilty,Sen. Lindsey Graham [R],Republican
300048,IA,,Not Guilty,"Sen. Charles “Chuck” Grassley [R, 1981-2028]",Republican
300055,OK,,Not Guilty,"Sen. James “Jim” Inhofe [R, 1994-2022]",Republican
300065,VT,,Guilty,"Sen. Patrick Leahy [D, 1975-2022]",Democrat
300072,KY,,Not Guilty,Sen. Mitch McConnell [R],Republican
300075,AK,,Guilty,"Sen. Lisa Murkowski [R, 2003-2028]",Republican
300076,WA,,Guilty,"Sen. Patty Murray [D, 1993-2028]",Democrat
300081,RI,,Guilty,Sen. John F. “Jack” Reed [D],Democrat
300087,NY,,Guilty,"Sen. Charles “Chuck” Schumer [D, 1999-2028]",Democrat
300089,AL,,Not Guilty,"Sen. Richard Shelby [R, 1987-2022]",Republican
300093,MI,,Guilty,Sen. Debbie Stabenow [D],Democrat
300100,OR,,Guilty,"Sen. Ron Wyden [D, 1996-2028]",Democrat
400013,WI,,Guilty,Sen. Tammy Baldwin [D],Democrat
400032,TN,,Not Guilty,Sen. Marsha Blackburn [R],Republican
400034,MO,,Not Guilty,"Sen. Roy Blunt [R, 2011-2022]",Republican
400040,AR,,Not Guilty,"Sen. John Boozman [R, 2011-2028]",Republican
400050,OH,,Guilty,Sen. Sherrod Brown [D],Democrat
400054,NC,,Guilty,"Sen. Richard Burr [R, 2005-2022]",Republican
400061,WV,,Not Guilty,Sen. Shelley Moore Capito [R],Republican
400064,MD,,Guilty,Sen. Benjamin Cardin [D],Democrat
400253,MA,,Guilty,Sen. Edward “Ed” Markey [D],Democrat
400272,NJ,,Guilty,Sen. Robert “Bob” Menendez [D],Democrat
400284,KS,,Not Guilty,"Sen. Jerry Moran [R, 2011-2028]",Republican
400325,OH,,Not Guilty,"Sen. Robert “Rob” Portman [R, 2011-2022]",Republican
400357,VT,,Guilty,Sen. Bernard “Bernie” Sanders [I],Independent
400408,PA,,Guilty,"Sen. Patrick “Pat” Toomey [R, 2011-2022]",Republican
400415,MD,,Guilty,"Sen. Chris Van Hollen [D, 2017-2028]",Democrat
400432,MS,,Not Guilty,Sen. Roger Wicker [R],Republican
400546,SD,,Not Guilty,"Sen. John Thune [R, 2005-2028]",Republican
412194,CT,,Guilty,Sen. Christopher Murphy [D],Democrat
412200,HI,,Guilty,Sen. Mazie Hirono [D],Democrat
412223,NY,,Guilty,Sen. Kirsten Gillibrand [D],Democrat
412242,MN,,Guilty,Sen. Amy Klobuchar [D],Democrat
412244,MT,,Guilty,Sen. Jon Tester [D],Democrat
412246,PA,,Guilty,Sen. Robert “Bob” Casey [D],Democrat
412247,RI,,Guilty,Sen. Sheldon Whitehouse [D],Democrat
412251,WY,,Not Guilty,Sen. John Barrasso [R],Republican
412269,LA,,Guilty,Sen. Bill Cassidy [R],Republican
412281,NM,,Guilty,Sen. Martin Heinrich [D],Democrat
