Selected profile file,Bill Name,Personal Prediction,Real Result,Bill Number
Aaron Bean_profile.json,"Department of State, Foreign Operations, and Related Programs Appropriations Act, 2024",Support,Support,H.R. 4665
Aaron Bean_profile.json,"Department of Homeland Security Appropriations Act, 2024",Support,Support,H.R. 4367
Aaron Bean_profile.json,"Department of Defense Appropriations Act, 2024",Support,Support,H.R. 4365
Aaron Bean_profile.json,"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies Appropriations Act, 2024",Support,Support,H.R. 4368
Aaron Bean_profile.json,"Continuing Appropriations Act, 2024 and Other Extensions Act",Oppose,Oppose,H.R. 5860
Aaron Bean_profile.json,"Energy and Water Development and Related Agencies Appropriations Act, 2024",Support,Support,H.R. 4394
Aaron Bean_profile.json,"Legislative Branch Appropriations Act, 2024",Support,Support,H.R. 4364
Aaron Bean_profile.json,"Department of the Interior, Environment, and Related Agencies Appropriations Act, 2024",Support,Support,H.R. 4821
Aaron Bean_profile.json,"Further Consolidated Appropriations Act, 2024",Support,Oppose,H.R. 2882
Aaron Bean_profile.json,Airport and Airway Extension Act of 2024,Support,Support,H.R. 7454
Aaron Bean_profile.json,"Further Continuing Appropriations and Other Extensions Act, 2024",Oppose,Oppose,H.R. 6363
Aaron Bean_profile.json,"Airport and Airway Extension Act of 2023, Part II",Support,Support,H.R. 6503
Aaron Bean_profile.json,National Defense Authorization Act for Fiscal Year 2024,Support,Oppose,H.R. 2670
Abigail Spanberger_profile.json,"To designate the facility of the United States Postal Service located at 39 West Main Street, in Honeoye Falls, New York, as the \u201cCW4 Christian J. Koch Memorial Post Office\u201d.",Support,Support,H.R. 3508 (117th)
Abigail Spanberger_profile.json,"Emergency Security Supplemental Appropriations Act, 2021",Support,Support,H.R. 3237 (117th)
Abigail Spanberger_profile.json,Cybersecurity Grants for Schools Act of 2022,Support,Support,H.R. 6868 (117th)
Abigail Spanberger_profile.json,Veterans Eligible to Transfer School (VETS) Credit Act,Support,Support,H.R. 6604 (117th)
Abigail Spanberger_profile.json,National Defense Authorization Act for Fiscal Year 2024,Support,Oppose,H.R. 2670
