Selected profile file,Bill Name,Personal Prediction,Real Result,Bill Number
Aaron Bean_profile.json,"Department of State, Foreign Operations, and Related Programs Appropriations Act, 2024",Nay,Yea,H.R. 4665
Aaron Bean_profile.json,Protecting Hunting Heritage and Education Act,Nay,Yea,H.R. 5110
Aaron Bean_profile.json,"Consolidated Appropriations Act, 2024",Yea,Yea,H.R. 4366
Aaron Bean_profile.json,National Defense Authorization Act for Fiscal Year 2024,Nay,Yea,H.R. 2670
Aaron Bean_profile.json,250th Anniversary of the United States Marine Corps Commemorative Coin Act,Yea,Yea,H.R. 1096
Aaron Bean_profile.json,"To designate the clinic of the Department of Veterans Affairs in Indian River, Michigan, as the \u201cPfc. Justin T. Paton Department of Veterans Affairs Clinic\u201d.",Yea,Yea,H.R. 3672
Aaron Bean_profile.json,Fiscal Responsibility Act of 2023,Yea,Yea,H.R. 3746
Aaron Bean_profile.json,TRANQ Research Act of 2023,Yea,Yea,H.R. 1734
Aaron Bean_profile.json,Wounded Warrior Access Act,Yea,Yea,H.R. 1226
Aaron Bean_profile.json,NOTAM Improvement Act of 2023,Yea,Yea,H.R. 346
Abigail Spanberger_profile.json,VA Transparency & Trust Act of 2021,Yea,Yea,H.R. 2911 (117th)
Abigail Spanberger_profile.json,"To designate the facility of the United States Postal Service located at 110 Johnson Street in Pickens, South Carolina, as the \u201cSpecialist Four Charles Johnson Post Office\u201d.",Yea,Yea,H.R. 92 (117th)
Abigail Spanberger_profile.json,"To designate the facility of the United States Postal Service located at 810 South Pendleton Street in Easley, South Carolina, as the \u201cPrivate First Class Barrett Lyle Austin Post Office Building\u201d.",Yea,Yea,H.R. 91 (117th)
Abigail Spanberger_profile.json,250th Anniversary of the United States Marine Corps Commemorative Coin Act,Nay,Yea,H.R. 1096
Abigail Spanberger_profile.json,"To designate the facility of the United States Postal Service located at 450 West Schaumburg Road in Schaumburg, Illinois, as the \u201cVeterans of Iraq and Afghanistan Memorial Post Office Building\u201d.",Yea,Yea,H.R. 6386 (117th)
Abigail Spanberger_profile.json,"To designate the facility of the United States Postal Service located at 303 East Mississippi Avenue in Elwood, Illinois, as the \u201cLawrence M. \u2018Larry\u2019 Walsh Sr. Post Office\u201d.",Yea,Yea,H.R. 700 (117th)
Abigail Spanberger_profile.json,"To designate the facility of the United States Postal Service located at 2016 East 1st Street in Los Angeles, California, as the \u201cMarine Corps Reserve PVT Jacob Cruz Post Office\u201d.",Yea,Yea,H.R. 5900 (117th)
Abigail Spanberger_profile.json,"To designate the facility of the United States Postal Service located at 5302 Galveston Road in Houston, Texas, as the Vanessa Guill\u00e9n Post Office Building.",Yea,Yea,H.R. 224 (117th)
Abigail Spanberger_profile.json,"Further Continuing Appropriations and Extensions Act, 2023",Yea,Yea,H.R. 1437 (117th)
Abigail Spanberger_profile.json,Empowering the U.S. Fire Administration Act,Yea,Yea,H.R. 7077 (117th)
Abigail Spanberger_profile.json,"Small Business Mergers, Acquisitions, Sales, and Brokerage Simplification Act of 2021",Nay,Yea,H.R. 935 (117th)
Abigail Spanberger_profile.json,"To designate the clinic of the Department of Veterans Affairs in Indian River, Michigan, as the \u201cPfc. Justin T. Paton Department of Veterans Affairs Clinic\u201d.",Yea,Yea,H.R. 3672
Abigail Spanberger_profile.json,Ensuring Compliance Against Drug Diversion Act of 2021,Yea,Yea,H.R. 1899 (117th)
Abigail Spanberger_profile.json,Protecting Indian Tribes from Scams Act,Yea,Yea,H.R. 1762 (117th)
Abigail Spanberger_profile.json,DEBAR Act of 2021,Yea,Yea,H.R. 1002 (117th)
Abigail Spanberger_profile.json,TRANSPLANT Act of 2021,Yea,Yea,H.R. 941 (117th)
Abigail Spanberger_profile.json,Nicholas and Zachary Burt Memorial Carbon Monoxide Poisoning Prevention Act of 2021,Yea,Yea,H.R. 1460 (117th)
Abigail Spanberger_profile.json,Fraud and Scam Reduction Act,Yea,Yea,H.R. 1215 (117th)
Abigail Spanberger_profile.json,United States Anti-Doping Agency Reauthorization Act of 2021,Yea,Yea,H.R. 172 (117th)
Abigail Spanberger_profile.json,"To prevent across-the-board direct spending cuts, and for other purposes.",Yea,Yea,H.R. 1868 (117th)
Abigail Spanberger_profile.json,"To prevent across-the-board direct spending cuts, and for other purposes.",Nay,Yea,H.R. 1868 (117th)
Abigail Spanberger_profile.json,Fiscal Responsibility Act of 2023,Yea,Yea,H.R. 3746
Abigail Spanberger_profile.json,Ukraine Invasion War Crimes Deterrence and Accountability Act,Yea,Yea,H.R. 7276 (117th)
Abigail Spanberger_profile.json,VOCA Fix to Sustain the Crime Victims Fund Act of 2021,Yea,Yea,H.R. 1652 (117th)
Abigail Spanberger_profile.json,"To award three congressional gold medals to the United States Capitol Police and those who protected the U.S. Capitol on January 6, 2021.",Yea,Yea,H.R. 1085 (117th)
Abigail Spanberger_profile.json,COVID-19 Bankruptcy Relief Extension Act of 2021,Yea,Yea,H.R. 1651 (117th)
Abigail Spanberger_profile.json,PPP Extension Act of 2021,Nay,Yea,H.R. 1799 (117th)
