Selected profile file,Bill Name,Personal Prediction,Real Result,Bill Number
Aaron Bean_profile.json,"To designate the clinic of the Department of Veterans Affairs in Indian River, Michigan, as the \u201cPfc. Justin T. Paton Department of Veterans Affairs Clinic\u201d.",Yea,Yea,H.R. 3672
Aaron Bean_profile.json,250th Anniversary of the United States Marine Corps Commemorative Coin Act,Yea,Yea,H.R. 1096
Aaron Bean_profile.json,National Defense Authorization Act for Fiscal Year 2024,Yea,Yea,H.R. 2670
Aaron Bean_profile.json,"Consolidated Appropriations Act, 2024",Yea,Yea,H.R. 4366
Aaron Bean_profile.json,Protecting Hunting Heritage and Education Act,Nay,Yea,H.R. 5110
Aaron Bean_profile.json,"Department of State, Foreign Operations, and Related Programs Appropriations Act, 2024",Yea,Yea,H.R. 4665
Aaron Bean_profile.json,"Department of Homeland Security Appropriations Act, 2024",Yea,Yea,H.R. 4367
Aaron Bean_profile.json,"Department of Defense Appropriations Act, 2024",Yea,Yea,H.R. 4365
Aaron Bean_profile.json,"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies Appropriations Act, 2024",Yea,Yea,H.R. 4368
Aaron Bean_profile.json,"Continuing Appropriations Act, 2024 and Other Extensions Act",Yea,Nay,H.R. 5860
Aaron Bean_profile.json,"Energy and Water Development and Related Agencies Appropriations Act, 2024",Yea,Yea,H.R. 4394
Aaron Bean_profile.json,"Legislative Branch Appropriations Act, 2024",Yea,Yea,H.R. 4364
Aaron Bean_profile.json,"Further Additional Continuing Appropriations and Other Extensions Act, 2024",Nay,Nay,H.R. 2872
Aaron Bean_profile.json,"Department of the Interior, Environment, and Related Agencies Appropriations Act, 2024",Yea,Yea,H.R. 4821
Aaron Bean_profile.json,"Further Consolidated Appropriations Act, 2024",Nay,Nay,H.R. 2882
Aaron Bean_profile.json,Airport and Airway Extension Act of 2024,Yea,Yea,H.R. 7454
Aaron Bean_profile.json,"Extension of Continuing Appropriations and Other Matters Act, 2024",Nay,Nay,H.R. 7463
Aaron Bean_profile.json,"Further Continuing Appropriations and Other Extensions Act, 2024",Nay,Nay,H.R. 6363
Aaron Bean_profile.json,"Airport and Airway Extension Act of 2023, Part II",Yea,Yea,H.R. 6503
Aaron Bean_profile.json,National Defense Authorization Act for Fiscal Year 2024,Nay,Nay,H.R. 2670
Abigail Spanberger_profile.json,"To award three congressional gold medals to the United States Capitol Police and those who protected the U.S. Capitol on January 6, 2021.",Nay,Yea,H.R. 1085 (117th)
Abigail Spanberger_profile.json,VOCA Fix to Sustain the Crime Victims Fund Act of 2021,Yea,Yea,H.R. 1652 (117th)
Abigail Spanberger_profile.json,Ukraine Invasion War Crimes Deterrence and Accountability Act,Yea,Yea,H.R. 7276 (117th)
Abigail Spanberger_profile.json,Fiscal Responsibility Act of 2023,Yea,Yea,H.R. 3746
Abigail Spanberger_profile.json,"To prevent across-the-board direct spending cuts, and for other purposes.",Yea,Yea,H.R. 1868 (117th)
Abigail Spanberger_profile.json,"To prevent across-the-board direct spending cuts, and for other purposes.",Yea,Yea,H.R. 1868 (117th)
Abigail Spanberger_profile.json,United States Anti-Doping Agency Reauthorization Act of 2021,Yea,Yea,H.R. 172 (117th)
Abigail Spanberger_profile.json,Fraud and Scam Reduction Act,Yea,Yea,H.R. 1215 (117th)
Abigail Spanberger_profile.json,Nicholas and Zachary Burt Memorial Carbon Monoxide Poisoning Prevention Act of 2021,Yea,Yea,H.R. 1460 (117th)
Abigail Spanberger_profile.json,TRANSPLANT Act of 2021,Yea,Yea,H.R. 941 (117th)
Abigail Spanberger_profile.json,DEBAR Act of 2021,Nay,Yea,H.R. 1002 (117th)
Abigail Spanberger_profile.json,Protecting Indian Tribes from Scams Act,Yea,Yea,H.R. 1762 (117th)
Abigail Spanberger_profile.json,Ensuring Compliance Against Drug Diversion Act of 2021,Yea,Yea,H.R. 1899 (117th)
