Profile Name,Bill Number,Bill Name,Prediction Attempt,Personal Prediction,Real Result
Mike Quigley_profile.json,H.R. 5659 (117th),"To designate the facility of the United States Postal Service located at 1961 North C Street in Oxnard, California, as the \u201cJohn R. Hatcher III Post Office Building\u201d.",1,Yea,Yea
Mike Quigley_profile.json,H.R. 5659 (117th),"To designate the facility of the United States Postal Service located at 1961 North C Street in Oxnard, California, as the \u201cJohn R. Hatcher III Post Office Building\u201d.",2,Yea,Yea
Mike Quigley_profile.json,H.R. 5659 (117th),"To designate the facility of the United States Postal Service located at 1961 North C Street in Oxnard, California, as the \u201cJohn R. Hatcher III Post Office Building\u201d.",3,Yea,Yea
Mike Quigley_profile.json,H.R. 5659 (117th),"To designate the facility of the United States Postal Service located at 1961 North C Street in Oxnard, California, as the \u201cJohn R. Hatcher III Post Office Building\u201d.",4,Yea,Yea
Mike Quigley_profile.json,H.R. 5659 (117th),"To designate the facility of the United States Postal Service located at 1961 North C Street in Oxnard, California, as the \u201cJohn R. Hatcher III Post Office Building\u201d.",5,Yea,Yea
Mike Quigley_profile.json,H.R. 5659 (117th),"To designate the facility of the United States Postal Service located at 1961 North C Street in Oxnard, California, as the \u201cJohn R. Hatcher III Post Office Building\u201d.",6,Yea,Yea
Mike Quigley_profile.json,H.R. 5659 (117th),"To designate the facility of the United States Postal Service located at 1961 North C Street in Oxnard, California, as the \u201cJohn R. Hatcher III Post Office Building\u201d.",7,Yea,Yea
Mike Quigley_profile.json,H.R. 5659 (117th),"To designate the facility of the United States Postal Service located at 1961 North C Street in Oxnard, California, as the \u201cJohn R. Hatcher III Post Office Building\u201d.",8,Yea,Yea
Mike Quigley_profile.json,H.R. 5659 (117th),"To designate the facility of the United States Postal Service located at 1961 North C Street in Oxnard, California, as the \u201cJohn R. Hatcher III Post Office Building\u201d.",9,Yea,Yea
Mike Quigley_profile.json,H.R. 5659 (117th),"To designate the facility of the United States Postal Service located at 1961 North C Street in Oxnard, California, as the \u201cJohn R. Hatcher III Post Office Building\u201d.",10,Yea,Yea
Mike Quigley_profile.json,H.R. 5659 (117th),"To designate the facility of the United States Postal Service located at 1961 North C Street in Oxnard, California, as the \u201cJohn R. Hatcher III Post Office Building\u201d.",11,Yea,Yea
Mike Quigley_profile.json,H.R. 5659 (117th),"To designate the facility of the United States Postal Service located at 1961 North C Street in Oxnard, California, as the \u201cJohn R. Hatcher III Post Office Building\u201d.",12,Yea,Yea
Mike Quigley_profile.json,H.R. 5659 (117th),"To designate the facility of the United States Postal Service located at 1961 North C Street in Oxnard, California, as the \u201cJohn R. Hatcher III Post Office Building\u201d.",13,Yea,Yea
Mike Quigley_profile.json,H.R. 5659 (117th),"To designate the facility of the United States Postal Service located at 1961 North C Street in Oxnard, California, as the \u201cJohn R. Hatcher III Post Office Building\u201d.",14,Yea,Yea
Mike Quigley_profile.json,H.R. 5659 (117th),"To designate the facility of the United States Postal Service located at 1961 North C Street in Oxnard, California, as the \u201cJohn R. Hatcher III Post Office Building\u201d.",15,Yea,Yea
Mike Quigley_profile.json,H.R. 5659 (117th),"To designate the facility of the United States Postal Service located at 1961 North C Street in Oxnard, California, as the \u201cJohn R. Hatcher III Post Office Building\u201d.",16,Yea,Yea
Mike Quigley_profile.json,H.R. 5659 (117th),"To designate the facility of the United States Postal Service located at 1961 North C Street in Oxnard, California, as the \u201cJohn R. Hatcher III Post Office Building\u201d.",17,Yea,Yea
Mike Quigley_profile.json,H.R. 5659 (117th),"To designate the facility of the United States Postal Service located at 1961 North C Street in Oxnard, California, as the \u201cJohn R. Hatcher III Post Office Building\u201d.",18,Yea,Yea
Mike Quigley_profile.json,H.R. 5659 (117th),"To designate the facility of the United States Postal Service located at 1961 North C Street in Oxnard, California, as the \u201cJohn R. Hatcher III Post Office Building\u201d.",19,Yea,Yea
Mike Quigley_profile.json,H.R. 5659 (117th),"To designate the facility of the United States Postal Service located at 1961 North C Street in Oxnard, California, as the \u201cJohn R. Hatcher III Post Office Building\u201d.",20,Yea,Yea
Michael Guest_profile.json,H.R. 3462 (117th),NOTAM Improvement Act of 2023,1,Yea,Yea
Michael Guest_profile.json,H.R. 3462 (117th),NOTAM Improvement Act of 2023,2,Yea,Yea
Michael Guest_profile.json,H.R. 3462 (117th),NOTAM Improvement Act of 2023,3,Yea,Yea
Michael Guest_profile.json,H.R. 3462 (117th),NOTAM Improvement Act of 2023,4,Yea,Yea
Michael Guest_profile.json,H.R. 3462 (117th),NOTAM Improvement Act of 2023,5,Yea,Yea
Michael Guest_profile.json,H.R. 3462 (117th),NOTAM Improvement Act of 2023,6,Yea,Yea
Michael Guest_profile.json,H.R. 3462 (117th),NOTAM Improvement Act of 2023,7,Yea,Yea
Michael Guest_profile.json,H.R. 3462 (117th),NOTAM Improvement Act of 2023,8,Yea,Yea
Michael Guest_profile.json,H.R. 3462 (117th),NOTAM Improvement Act of 2023,9,Yea,Yea
Michael Guest_profile.json,H.R. 3462 (117th),NOTAM Improvement Act of 2023,10,Yea,Yea
Michael Guest_profile.json,H.R. 3462 (117th),NOTAM Improvement Act of 2023,11,Yea,Yea
Michael Guest_profile.json,H.R. 3462 (117th),NOTAM Improvement Act of 2023,12,Yea,Yea
Michael Guest_profile.json,H.R. 3462 (117th),NOTAM Improvement Act of 2023,13,Yea,Yea
Michael Guest_profile.json,H.R. 3462 (117th),NOTAM Improvement Act of 2023,14,Yea,Yea
Michael Guest_profile.json,H.R. 3462 (117th),NOTAM Improvement Act of 2023,15,Yea,Yea
Michael Guest_profile.json,H.R. 3462 (117th),NOTAM Improvement Act of 2023,16,Yea,Yea
Michael Guest_profile.json,H.R. 3462 (117th),NOTAM Improvement Act of 2023,17,Yea,Yea
Michael Guest_profile.json,H.R. 3462 (117th),NOTAM Improvement Act of 2023,18,Yea,Yea
Michael Guest_profile.json,H.R. 3462 (117th),NOTAM Improvement Act of 2023,19,Yea,Yea
Michael Guest_profile.json,H.R. 3462 (117th),NOTAM Improvement Act of 2023,20,Yea,Yea
Michael McCaul_profile.json,H.R. 1762 (117th),Protecting Indian Tribes from Scams Act,1,Yea,Yea
Michael McCaul_profile.json,H.R. 1762 (117th),Protecting Indian Tribes from Scams Act,2,Yea,Yea
