Profile Name,Bill Number,Bill Name,Prediction Attempt,Personal Prediction,Real Result
Suzanne Bonamici_profile.json,H.R. 2250 (117th),Department of Veterans Affairs Information Technology Reform Act of 2021,1,Yea,Yea
Suzanne Bonamici_profile.json,H.R. 2250 (117th),Department of Veterans Affairs Information Technology Reform Act of 2021,2,Yea,Yea
Suzanne Bonamici_profile.json,H.R. 2250 (117th),Department of Veterans Affairs Information Technology Reform Act of 2021,3,Yea,Yea
Suzanne Bonamici_profile.json,H.R. 2250 (117th),Department of Veterans Affairs Information Technology Reform Act of 2021,4,Yea,Yea
Suzanne Bonamici_profile.json,H.R. 2250 (117th),Department of Veterans Affairs Information Technology Reform Act of 2021,5,Yea,Yea
Suzanne Bonamici_profile.json,H.R. 2250 (117th),Department of Veterans Affairs Information Technology Reform Act of 2021,6,Yea,Yea
Suzanne Bonamici_profile.json,H.R. 2250 (117th),Department of Veterans Affairs Information Technology Reform Act of 2021,7,Yea,Yea
Suzanne Bonamici_profile.json,H.R. 2250 (117th),Department of Veterans Affairs Information Technology Reform Act of 2021,8,Yea,Yea
Suzanne Bonamici_profile.json,H.R. 2250 (117th),Department of Veterans Affairs Information Technology Reform Act of 2021,9,Yea,Yea
Suzanne Bonamici_profile.json,H.R. 2250 (117th),Department of Veterans Affairs Information Technology Reform Act of 2021,10,Yea,Yea
Suzanne Bonamici_profile.json,H.R. 2250 (117th),Department of Veterans Affairs Information Technology Reform Act of 2021,11,Yea,Yea
Suzanne Bonamici_profile.json,H.R. 2250 (117th),Department of Veterans Affairs Information Technology Reform Act of 2021,12,Yea,Yea
Suzanne Bonamici_profile.json,H.R. 2250 (117th),Department of Veterans Affairs Information Technology Reform Act of 2021,13,Yea,Yea
Suzanne Bonamici_profile.json,H.R. 2250 (117th),Department of Veterans Affairs Information Technology Reform Act of 2021,14,Yea,Yea
Suzanne Bonamici_profile.json,H.R. 2250 (117th),Department of Veterans Affairs Information Technology Reform Act of 2021,15,Yea,Yea
Suzanne Bonamici_profile.json,H.R. 2250 (117th),Department of Veterans Affairs Information Technology Reform Act of 2021,16,Yea,Yea
Suzanne Bonamici_profile.json,H.R. 2250 (117th),Department of Veterans Affairs Information Technology Reform Act of 2021,17,Yea,Yea
Suzanne Bonamici_profile.json,H.R. 2250 (117th),Department of Veterans Affairs Information Technology Reform Act of 2021,18,Yea,Yea
Suzanne Bonamici_profile.json,H.R. 2250 (117th),Department of Veterans Affairs Information Technology Reform Act of 2021,19,Yea,Yea
Suzanne Bonamici_profile.json,H.R. 2250 (117th),Department of Veterans Affairs Information Technology Reform Act of 2021,20,Yea,Yea
Veronica Escobar_profile.json,H.R. 6604 (117th),Veterans Eligible to Transfer School (VETS) Credit Act,1,Yea,Yea
Veronica Escobar_profile.json,H.R. 6604 (117th),Veterans Eligible to Transfer School (VETS) Credit Act,2,Yea,Yea
Veronica Escobar_profile.json,H.R. 6604 (117th),Veterans Eligible to Transfer School (VETS) Credit Act,3,Yea,Yea
Veronica Escobar_profile.json,H.R. 6604 (117th),Veterans Eligible to Transfer School (VETS) Credit Act,4,Yea,Yea
Veronica Escobar_profile.json,H.R. 6604 (117th),Veterans Eligible to Transfer School (VETS) Credit Act,5,Yea,Yea
Veronica Escobar_profile.json,H.R. 6604 (117th),Veterans Eligible to Transfer School (VETS) Credit Act,6,Yea,Yea
Veronica Escobar_profile.json,H.R. 6604 (117th),Veterans Eligible to Transfer School (VETS) Credit Act,7,Yea,Yea
Veronica Escobar_profile.json,H.R. 6604 (117th),Veterans Eligible to Transfer School (VETS) Credit Act,8,Yea,Yea
Veronica Escobar_profile.json,H.R. 6604 (117th),Veterans Eligible to Transfer School (VETS) Credit Act,9,Yea,Yea
Veronica Escobar_profile.json,H.R. 6604 (117th),Veterans Eligible to Transfer School (VETS) Credit Act,10,Yea,Yea
Veronica Escobar_profile.json,H.R. 6604 (117th),Veterans Eligible to Transfer School (VETS) Credit Act,11,Yea,Yea
Veronica Escobar_profile.json,H.R. 6604 (117th),Veterans Eligible to Transfer School (VETS) Credit Act,12,Yea,Yea
Veronica Escobar_profile.json,H.R. 6604 (117th),Veterans Eligible to Transfer School (VETS) Credit Act,13,Yea,Yea
Veronica Escobar_profile.json,H.R. 6604 (117th),Veterans Eligible to Transfer School (VETS) Credit Act,14,Yea,Yea
Veronica Escobar_profile.json,H.R. 6604 (117th),Veterans Eligible to Transfer School (VETS) Credit Act,15,Yea,Yea
Veronica Escobar_profile.json,H.R. 6604 (117th),Veterans Eligible to Transfer School (VETS) Credit Act,16,Yea,Yea
Veronica Escobar_profile.json,H.R. 6604 (117th),Veterans Eligible to Transfer School (VETS) Credit Act,17,Yea,Yea
Veronica Escobar_profile.json,H.R. 6604 (117th),Veterans Eligible to Transfer School (VETS) Credit Act,18,Yea,Yea
Veronica Escobar_profile.json,H.R. 6604 (117th),Veterans Eligible to Transfer School (VETS) Credit Act,19,Yea,Yea
Veronica Escobar_profile.json,H.R. 6604 (117th),Veterans Eligible to Transfer School (VETS) Credit Act,20,Yea,Yea
