Selected profile file,Bill Name,Bill Number,Personal Prediction,Real Result
Aaron Bean_profile.json,"To designate the clinic of the Department of Veterans Affairs in Indian River, Michigan, as the \u201cPfc. Justin T. Paton Department of Veterans Affairs Clinic\u201d.",H.R. 3672,Yea,Yea
Aaron Bean_profile.json,250th Anniversary of the United States Marine Corps Commemorative Coin Act,H.R. 1096,Yea,Yea
Aaron Bean_profile.json,National Defense Authorization Act for Fiscal Year 2024,H.R. 2670,Yea,Yea
Aaron Bean_profile.json,"Consolidated Appropriations Act, 2024",H.R. 4366,Yea,Yea
Aaron Bean_profile.json,Protecting Hunting Heritage and Education Act,H.R. 5110,Yea,Yea
Aaron Bean_profile.json,"Department of State, Foreign Operations, and Related Programs Appropriations Act, 2024",H.R. 4665,Yea,Yea
Aaron Bean_profile.json,"Department of Homeland Security Appropriations Act, 2024",H.R. 4367,Yea,Yea
Aaron Bean_profile.json,"Department of Defense Appropriations Act, 2024",H.R. 4365,Yea,Yea
Aaron Bean_profile.json,"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies Appropriations Act, 2024",H.R. 4368,Yea,Yea
Aaron Bean_profile.json,"Continuing Appropriations Act, 2024 and Other Extensions Act",H.R. 5860,Yea,Nay
Aaron Bean_profile.json,"Energy and Water Development and Related Agencies Appropriations Act, 2024",H.R. 4394,Yea,Yea
Aaron Bean_profile.json,"Legislative Branch Appropriations Act, 2024",H.R. 4364,Yea,Yea
Aaron Bean_profile.json,"Department of the Interior, Environment, and Related Agencies Appropriations Act, 2024",H.R. 4821,Yea,Yea
Aaron Bean_profile.json,"Further Consolidated Appropriations Act, 2024",H.R. 2882,Nay,Nay
Aaron Bean_profile.json,Airport and Airway Extension Act of 2024,H.R. 7454,Yea,Yea
Aaron Bean_profile.json,"Further Continuing Appropriations and Other Extensions Act, 2024",H.R. 6363,Nay,Nay
Aaron Bean_profile.json,"Airport and Airway Extension Act of 2023, Part II",H.R. 6503,Yea,Yea
Aaron Bean_profile.json,National Defense Authorization Act for Fiscal Year 2024,H.R. 2670,Yea,Yea
Andrea Salinas_profile.json,"To designate the clinic of the Department of Veterans Affairs in Indian River, Michigan, as the \u201cPfc. Justin T. Paton Department of Veterans Affairs Clinic\u201d.",H.R. 3672,Yea,Yea
Andrea Salinas_profile.json,250th Anniversary of the United States Marine Corps Commemorative Coin Act,H.R. 1096,Yea,Yea
Andrea Salinas_profile.json,National Defense Authorization Act for Fiscal Year 2024,H.R. 2670,Yea,Yea
Andrea Salinas_profile.json,"Consolidated Appropriations Act, 2024",H.R. 4366,Yea,Yea
Andrea Salinas_profile.json,Protecting Hunting Heritage and Education Act,H.R. 5110,Yea,Yea
Andrea Salinas_profile.json,"Department of State, Foreign Operations, and Related Programs Appropriations Act, 2024",H.R. 4665,Yea,Yea
Andrea Salinas_profile.json,"Department of Homeland Security Appropriations Act, 2024",H.R. 4367,Yea,Yea
Andrea Salinas_profile.json,"Department of Defense Appropriations Act, 2024",H.R. 4365,Yea,Yea
Andrea Salinas_profile.json,"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies Appropriations Act, 2024",H.R. 4368,Nay,Yea
Andrea Salinas_profile.json,"Continuing Appropriations Act, 2024 and Other Extensions Act",H.R. 5860,Yea,Nay
Andrea Salinas_profile.json,"Energy and Water Development and Related Agencies Appropriations Act, 2024",H.R. 4394,Nay,Yea
Andrea Salinas_profile.json,"Legislative Branch Appropriations Act, 2024",H.R. 4364,Yea,Yea
Andrea Salinas_profile.json,"Department of the Interior, Environment, and Related Agencies Appropriations Act, 2024",H.R. 4821,Yea,Yea
Andrea Salinas_profile.json,"Further Consolidated Appropriations Act, 2024",H.R. 2882,Yea,Nay
Andrea Salinas_profile.json,Airport and Airway Extension Act of 2024,H.R. 7454,Yea,Yea
Andrea Salinas_profile.json,"Further Continuing Appropriations and Other Extensions Act, 2024",H.R. 6363,Nay,Nay
Andrea Salinas_profile.json,"Airport and Airway Extension Act of 2023, Part II",H.R. 6503,Yea,Yea
Andrea Salinas_profile.json,National Defense Authorization Act for Fiscal Year 2024,H.R. 2670,Yea,Yea
Anna Paulina Luna_profile.json,"To designate the clinic of the Department of Veterans Affairs in Indian River, Michigan, as the \u201cPfc. Justin T. Paton Department of Veterans Affairs Clinic\u201d.",H.R. 3672,Yea,Yea
Anna Paulina Luna_profile.json,250th Anniversary of the United States Marine Corps Commemorative Coin Act,H.R. 1096,Yea,Yea
Anna Paulina Luna_profile.json,National Defense Authorization Act for Fiscal Year 2024,H.R. 2670,Yea,Yea
Anna Paulina Luna_profile.json,"Consolidated Appropriations Act, 2024",H.R. 4366,Yea,Yea
Anna Paulina Luna_profile.json,Protecting Hunting Heritage and Education Act,H.R. 5110,Yea,Yea
Anna Paulina Luna_profile.json,"Department of State, Foreign Operations, and Related Programs Appropriations Act, 2024",H.R. 4665,Yea,Yea
Anna Paulina Luna_profile.json,"Department of Homeland Security Appropriations Act, 2024",H.R. 4367,Yea,Yea
Anna Paulina Luna_profile.json,"Department of Defense Appropriations Act, 2024",H.R. 4365,Yea,Yea
Anna Paulina Luna_profile.json,"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies Appropriations Act, 2024",H.R. 4368,Yea,Yea
Anna Paulina Luna_profile.json,"Continuing Appropriations Act, 2024 and Other Extensions Act",H.R. 5860,Yea,Nay
Anna Paulina Luna_profile.json,"Energy and Water Development and Related Agencies Appropriations Act, 2024",H.R. 4394,Yea,Yea
Anna Paulina Luna_profile.json,"Legislative Branch Appropriations Act, 2024",H.R. 4364,Yea,Yea
